===== dzień: 27 ==== miesiąc: 4 =====
Dodano studenta: Adam, ID karty: 1234, Data: 2025-04-27T19:55:46.396331
2025-04-27T19:55:46.405853: Dodano ucznia: Adam Golik (ID: 1234)
2025-04-27T19:56:58.429877: Dodano dzieci: liczba = 10
2025-04-27T19:57:08.585875: Dodano dzieci: liczba = 133
2025-04-27T19:57:13.783734: Usunięto wiersz: Imię = Dziecko133, ID karty = brak
2025-04-27T19:57:13.784178: Usunięto wiersz: Imię = Dziecko132, ID karty = brak
2025-04-27T19:57:13.784486: Usunięto wiersz: Imię = Dziecko131, ID karty = brak
2025-04-27T19:57:13.784646: Usunięto wiersz: Imię = Dziecko130, ID karty = brak
2025-04-27T19:57:13.784796: Usunięto wiersz: Imię = Dziecko129, ID karty = brak
2025-04-27T19:57:13.784942: Usunięto wiersz: Imię = Dziecko128, ID karty = brak
2025-04-27T19:57:13.785085: Usunięto wiersz: Imię = Dziecko127, ID karty = brak
2025-04-27T19:57:13.785236: Usunięto wiersz: Imię = Dziecko126, ID karty = brak
2025-04-27T19:57:13.785380: Usunięto wiersz: Imię = Dziecko125, ID karty = brak
2025-04-27T19:57:13.785523: Usunięto wiersz: Imię = Dziecko124, ID karty = brak
2025-04-27T19:57:13.785662: Usunięto wiersz: Imię = Dziecko123, ID karty = brak
2025-04-27T19:57:13.785802: Usunięto wiersz: Imię = Dziecko122, ID karty = brak
2025-04-27T19:57:13.785944: Usunięto wiersz: Imię = Dziecko121, ID karty = brak
2025-04-27T19:57:13.786085: Usunięto wiersz: Imię = Dziecko120, ID karty = brak
2025-04-27T19:57:13.786229: Usunięto wiersz: Imię = Dziecko119, ID karty = brak
2025-04-27T19:57:13.786361: Usunięto wiersz: Imię = Dziecko118, ID karty = brak
2025-04-27T19:57:13.786495: Usunięto wiersz: Imię = Dziecko117, ID karty = brak
2025-04-27T19:57:13.786618: Usunięto wiersz: Imię = Dziecko116, ID karty = brak
2025-04-27T19:57:13.786785: Usunięto wiersz: Imię = Dziecko115, ID karty = brak
2025-04-27T19:57:13.786911: Usunięto wiersz: Imię = Dziecko114, ID karty = brak
2025-04-27T19:57:13.787035: Usunięto wiersz: Imię = Dziecko113, ID karty = brak
2025-04-27T19:57:13.787212: Usunięto wiersz: Imię = Dziecko112, ID karty = brak
2025-04-27T19:57:13.787360: Usunięto wiersz: Imię = Dziecko111, ID karty = brak
2025-04-27T19:57:13.787507: Usunięto wiersz: Imię = Dziecko110, ID karty = brak
2025-04-27T19:57:13.787649: Usunięto wiersz: Imię = Dziecko109, ID karty = brak
2025-04-27T19:57:13.787789: Usunięto wiersz: Imię = Dziecko108, ID karty = brak
2025-04-27T19:57:13.787926: Usunięto wiersz: Imię = Dziecko107, ID karty = brak
2025-04-27T19:57:13.788051: Usunięto wiersz: Imię = Dziecko106, ID karty = brak
2025-04-27T19:57:13.788181: Usunięto wiersz: Imię = Dziecko105, ID karty = brak
2025-04-27T19:57:13.788327: Usunięto wiersz: Imię = Dziecko104, ID karty = brak
2025-04-27T19:57:13.788478: Usunięto wiersz: Imię = Dziecko103, ID karty = brak
2025-04-27T19:57:13.788613: Usunięto wiersz: Imię = Dziecko102, ID karty = brak
2025-04-27T19:57:13.788752: Usunięto wiersz: Imię = Dziecko101, ID karty = brak
2025-04-27T19:57:13.788889: Usunięto wiersz: Imię = Dziecko100, ID karty = brak
2025-04-27T19:57:13.789022: Usunięto wiersz: Imię = Dziecko99, ID karty = brak
2025-04-27T19:57:13.789161: Usunięto wiersz: Imię = Dziecko98, ID karty = brak
2025-04-27T19:57:13.789306: Usunięto wiersz: Imię = Dziecko97, ID karty = brak
2025-04-27T19:57:13.789454: Usunięto wiersz: Imię = Dziecko96, ID karty = brak
2025-04-27T19:57:13.789590: Usunięto wiersz: Imię = Dziecko95, ID karty = brak
2025-04-27T19:57:13.789740: Usunięto wiersz: Imię = Dziecko94, ID karty = brak
2025-04-27T19:57:13.789881: Usunięto wiersz: Imię = Dziecko93, ID karty = brak
2025-04-27T19:57:13.790018: Usunięto wiersz: Imię = Dziecko92, ID karty = brak
2025-04-27T19:57:13.790155: Usunięto wiersz: Imię = Dziecko91, ID karty = brak
2025-04-27T19:57:13.790303: Usunięto wiersz: Imię = Dziecko90, ID karty = brak
2025-04-27T19:57:13.790457: Usunięto wiersz: Imię = Dziecko89, ID karty = brak
2025-04-27T19:57:13.790609: Usunięto wiersz: Imię = Dziecko88, ID karty = brak
2025-04-27T19:57:13.790749: Usunięto wiersz: Imię = Dziecko87, ID karty = brak
2025-04-27T19:57:13.790953: Usunięto wiersz: Imię = Dziecko86, ID karty = brak
2025-04-27T19:57:13.791102: Usunięto wiersz: Imię = Dziecko85, ID karty = brak
2025-04-27T19:57:13.791239: Usunięto wiersz: Imię = Dziecko84, ID karty = brak
2025-04-27T19:57:13.791373: Usunięto wiersz: Imię = Dziecko83, ID karty = brak
2025-04-27T19:57:13.791507: Usunięto wiersz: Imię = Dziecko82, ID karty = brak
